Epoch,chi_Mean_0.235,chi_Mean_0.94
899,-17.216001,-16.265578
900,-17.267837,-16.260039
901,-17.309913,-16.315192
902,-17.244739,-16.279760
903,-17.263855,-16.238036
904,-17.258125,-16.272673
905,-17.302971,-16.274294
906,-17.217684,-16.300924
907,-17.278660,-16.274986
908,-17.269154,-16.307859
909,-17.261919,-16.316353
910,-17.204995,-16.286009
911,-17.261505,-16.218645
912,-17.274222,-16.324489
913,-17.294692,-16.280664
914,-17.242876,-16.288378
915,-17.232598,-16.310086
916,-17.186137,-16.298877
917,-17.329790,-16.223477
918,-17.274684,-16.308481
919,-17.223650,-16.228625
920,-17.216463,-16.291808
921,-17.295094,-16.304697
922,-17.259272,-16.231231
923,-17.250653,-16.275855
924,-17.266595,-16.249420
925,-17.240741,-16.172226
926,-17.236002,-16.259072
927,-17.232813,-16.266797
928,-17.303529,-16.218473
929,-17.201447,-16.262483
930,-17.305013,-16.254658
931,-17.260404,-16.261156
932,-17.279229,-16.287947
933,-17.297359,-16.291047
934,-17.262519,-16.260249
935,-17.230175,-16.316610
936,-17.277922,-16.267440
937,-17.280784,-16.234658
938,-17.262573,-16.225811
939,-17.324513,-16.239022
940,-17.238727,-16.233779
941,-17.234103,-16.281826
942,-17.270465,-16.280884
943,-17.317418,-16.214002
944,-17.311412,-16.230477
945,-17.231601,-16.245693
946,-17.310919,-16.252758
947,-17.274503,-16.194578
948,-17.233860,-16.198159
949,-17.270517,-16.241033
950,-17.234893,-16.310845
951,-17.249997,-16.255894
952,-17.295548,-16.259069
953,-17.229165,-16.268309
954,-17.252452,-16.288487
955,-17.283006,-16.206691
956,-17.307371,-16.278918
957,-17.175638,-16.277797
958,-17.208460,-16.193259
959,-17.264752,-16.275531
960,-17.174851,-16.249821
961,-17.266411,-16.273681
962,-17.204605,-16.293788
963,-17.232548,-16.284182
964,-17.224519,-16.287749
965,-17.229691,-16.254000
966,-17.262070,-16.217300
967,-17.202957,-16.305019
968,-17.200343,-16.284135
969,-17.211593,-16.265136
970,-17.231237,-16.298708
971,-17.214004,-16.299763
972,-17.226842,-16.319590
973,-17.260080,-16.286212
974,-17.294473,-16.288478
975,-17.241542,-16.281886
976,-17.300768,-16.216716
977,-17.240947,-16.268833
978,-17.263194,-16.247679
979,-17.272757,-16.250654
980,-17.258855,-16.290615
981,-17.290720,-16.311873
982,-17.215414,-16.228229
983,-17.259412,-16.283024
984,-17.205686,-16.217331
985,-17.249907,-16.290371
986,-17.164629,-16.235617
987,-17.148017,-16.176985
988,-17.181568,-16.249963
989,-17.166034,-16.241149
990,-17.252874,-16.273059
