alpha,beta,q_v,q_h,q_v_hat,q_h_hat,chi_vh
1.0,0.1200,1.0217405821e-02,1.0004363223e-02,7.2031415202e-05,7.3565321912e-05,7.20563e-05
1.0,0.1300,1.0255768286e-02,1.0016938808e-02,8.4643132928e-05,8.6661242015e-05,8.47746e-05
1.0,0.1400,1.0297414282e-02,1.0030625186e-02,9.8300126827e-05,1.0091465996e-04,9.85810e-05
1.0,0.1500,1.0342395685e-02,1.0045447501e-02,1.1301128438e-04,1.1635195145e-04,1.13492e-04
1.0,0.1600,1.0390768987e-02,1.0061433130e-02,1.2878634406e-04,1.3300184303e-04,1.29527e-04
1.0,0.1700,1.0442595475e-02,1.0078611775e-02,1.4563594014e-04,1.5089550461e-04,1.46706e-04
1.0,0.1800,1.0497941431e-02,1.0097015555e-02,1.6357165200e-04,1.7006665119e-04,1.65049e-04
1.0,0.1900,1.0556878352e-02,1.0116679117e-02,1.8260605806e-04,1.9055165426e-04,1.84580e-04
1.0,0.2000,1.0619483178e-02,1.0137639735e-02,2.0275279470e-04,2.1238966355e-04,2.05325e-04
1.0,0.2100,1.0685838560e-02,1.0159937454e-02,2.2402662086e-04,2.3562274024e-04,2.27311e-04
1.0,0.2200,1.0756033140e-02,1.0183615212e-02,2.4644348814e-04,2.6029600198e-04,2.50565e-04
1.0,0.2300,1.0830161859e-02,1.0208718996e-02,2.7002061744e-04,2.8645778117e-04,2.75119e-04
1.0,0.2400,1.0908326292e-02,1.0235297998e-02,2.9477658235e-04,3.1415979721e-04,3.01006e-04
1.0,0.2500,1.0990635013e-02,1.0263404795e-02,3.2073139983e-04,3.4345734416e-04,3.28261e-04
1.0,0.2600,1.1077203993e-02,1.0293095535e-02,3.4790662909e-04,3.7440949495e-04,3.56922e-04
1.0,0.2700,1.1168157031e-02,1.0324430151e-02,3.7632547902e-04,4.0707932377e-04,3.87028e-04
1.0,0.2800,1.1263626226e-02,1.0357472582e-02,4.0601292522e-04,4.4153414808e-04,4.18623e-04
1.0,0.2900,1.1363752496e-02,1.0392291024e-02,4.3699583757e-04,4.7784579245e-04,4.51752e-04
1.0,0.3000,1.1468686112e-02,1.0428958185e-02,4.6930311834e-04,5.1609087502e-04,4.86464e-04
1.0,0.3100,1.1578587335e-02,1.0467551595e-02,5.0296585415e-04,5.5635112147e-04,5.22810e-04
1.0,0.3200,1.1693627066e-02,1.0508153912e-02,5.3801748028e-04,5.9871370578e-04,5.60845e-04
1.0,0.3300,1.1813987565e-02,1.0550853270e-02,5.7449396055e-04,6.4327162290e-04,6.00627e-04
1.0,0.3400,1.1939863245e-02,1.0595743660e-02,6.1243398357e-04,6.9012409558e-04,6.42221e-04
1.0,0.3500,1.2071461535e-02,1.0642925341e-02,6.5187917716e-04,7.3937701904e-04,6.85691e-04
1.0,0.3600,1.2209003820e-02,1.0692505291e-02,6.9287434287e-04,7.9114344753e-04,7.31109e-04
1.0,0.3700,1.2352726479e-02,1.0744597708e-02,7.3546771312e-04,8.4554412749e-04,7.78550e-04
1.0,0.3800,1.2502881997e-02,1.0799324527e-02,7.7971123085e-04,9.0270808022e-04,8.28096e-04
1.0,0.3900,1.2659740234e-02,1.0856816045e-02,8.2566086023e-04,9.6277324479e-04,8.79832e-04
1.0,0.4000,1.2823589766e-02,1.0917211553e-02,8.7337692421e-04,1.0258871813e-03,9.33849e-04
1.0,0.4100,1.2994739392e-02,1.0980660053e-02,9.2292447742e-04,1.0922078459e-03,9.90247e-04
1.0,0.4200,1.3173519781e-02,1.1047321047e-02,9.7437371637e-04,1.1619044447e-03,1.04913e-03
1.0,0.4300,1.3360285290e-02,1.1117365406e-02,1.0278004318e-03,1.2351583751e-03,1.11061e-03
1.0,0.4400,1.3555415972e-02,1.1190976320e-02,1.0832865078e-03,1.3121642661e-03,1.17481e-03
1.0,0.4500,1.3759319812e-02,1.1268350373e-02,1.1409204753e-03,1.3931311309e-03,1.24185e-03
1.0,0.4600,1.3972435127e-02,1.1349698668e-02,1.2007981191e-03,1.4782836365e-03,1.31187e-03
1.0,0.4700,1.4195233372e-02,1.1435248180e-02,1.2630231614e-03,1.5678635260e-03,1.38503e-03
1.0,0.4800,1.4428222118e-02,1.1525243158e-02,1.3277080118e-03,1.6621311880e-03,1.46147e-03
1.0,0.4900,1.4671948434e-02,1.1619946737e-02,1.3949746058e-03,1.7613674095e-03,1.54138e-03
1.0,0.5000,1.4927002659e-02,1.1719642731e-02,1.4649553414e-03,1.8658753324e-03,1.62493e-03
1.0,0.5100,1.5194022555e-02,1.1824637576e-02,1.5377941167e-03,1.9759826333e-03,1.71232e-03
1.0,0.5200,1.5473698061e-02,1.1935262613e-02,1.6136475053e-03,2.0920439779e-03,1.80377e-03
1.0,0.5300,1.5766776524e-02,1.2051876546e-02,1.6926860609e-03,2.2144437627e-03,1.89949e-03
1.0,0.5400,1.6074068624e-02,1.2174868244e-02,1.7750957900e-03,2.3435992054e-03,1.99975e-03
1.0,0.5500,1.6396455040e-02,1.2304659886e-02,1.8610798077e-03,2.4799638248e-03,2.10481e-03
1.0,0.5600,1.6734893999e-02,1.2441710522e-02,1.9508602098e-03,2.6240313790e-03,2.21497e-03
